sample_id,Clade,ITS2,its2_count,Majority,species,region,reef
PDOG-R1-1,A,84568,21483,A1/A1c,P,DOG,R1
PDOG-R1-12,A,85581,6434,A1,P,DOG,R1
PDOG-R1-13,A,85586,11770,A1,P,DOG,R1
PDOG-R1-14,A,84568,16758,A1/A1c,P,DOG,R1
PDOG-R1-16,A,85586,19712,A1,P,DOG,R1
PDOG-R1-18,A,85581,16383,A1,P,DOG,R1
PDOG-R1-19,A,85586,15674,A1,P,DOG,R1
PDOG-R1-2,A,85586,14945,A1,P,DOG,R1
PDOG-R1-20,A,85585,16871,A1/A1c,P,DOG,R1
PDOG-R1-21,A,84568,15506,A1/A1c,P,DOG,R1
PDOG-R1-22,A,84553,23191,A1,P,DOG,R1
PDOG-R1-23,A,85585,12748,A1/A1c,P,DOG,R1
PDOG-R1-24,A,85586,26189,A1,P,DOG,R1
PDOG-R1-27,A,85581,17932,A1,P,DOG,R1
PDOG-R1-28,A,84575,18904,A1j,P,DOG,R1
PDOG-R1-29,A,85586,16299,A1,P,DOG,R1
PDOG-R1-30,A,85586,18398,A1,P,DOG,R1
PDOG-R1-5,A,85581,14488,A1,P,DOG,R1
PDOG-R1-6,A,84575,17889,A1j,P,DOG,R1
PDOG-R1-7,A,85586,11553,A1,P,DOG,R1
PDOG-R1-8,A,85585,24755,A1/A1c,P,DOG,R1
PDOG-R1-9,A,84568,18675,A1/A1c,P,DOG,R1
PDOG-R2-1,A,85581,21883,A1,P,DOG,R2
PDOG-R2-10,A,85661,21390,A1j,P,DOG,R2
PDOG-R2-11,A,84568,13899,A1/A1c,P,DOG,R2
PDOG-R2-12,A,84575,11585,A1j,P,DOG,R2
PDOG-R2-15,A,85586,14070,A1,P,DOG,R2
PDOG-R2-17,A,85581,14280,A1,P,DOG,R2
PDOG-R2-19,A,85581,20753,A1,P,DOG,R2
PDOG-R2-2,A,84574,15654,A1j,P,DOG,R2
PDOG-R2-20,A,85585,18263,A1/A1c,P,DOG,R2
PDOG-R2-21,A,85581,11902,A1,P,DOG,R2
PDOG-R2-22,A,85586,6330,A1,P,DOG,R2
PDOG-R2-23,A,85585,6858,A1/A1c,P,DOG,R2
PDOG-R2-24,A,84568,17173,A1/A1c,P,DOG,R2
PDOG-R2-25,A,85581,21897,A1,P,DOG,R2
PDOG-R2-26,A,84574,20432,A1j,P,DOG,R2
PDOG-R2-3,A,85581,13435,A1,P,DOG,R2
PDOG-R2-5,A,85586,11976,A1,P,DOG,R2
PDOG-R2-6,A,84574,16793,A1j,P,DOG,R2
PDOG-R2-8,A,85661,17579,A1j,P,DOG,R2
PDOG-R2-9,A,85586,15376,A1,P,DOG,R2
PDOG-R3-10,A,85581,22958,A1,P,DOG,R3
PDOG-R3-11,A,85581,17021,A1,P,DOG,R3
PDOG-R3-12,A,84574,19374,A1j,P,DOG,R3
PDOG-R3-14,A,84568,18971,A1/A1c,P,DOG,R3
PDOG-R3-16,A,85586,19575,A1,P,DOG,R3
PDOG-R3-18,A,84568,22067,A1/A1c,P,DOG,R3
PDOG-R3-19,A,85586,10574,A1,P,DOG,R3
PDOG-R3-20,A,85581,15752,A1,P,DOG,R3
PDOG-R3-21,A,85586,20582,A1,P,DOG,R3
PDOG-R3-24,A,85581,21878,A1,P,DOG,R3
PDOG-R3-26,A,85586,18866,A1,P,DOG,R3
PDOG-R3-27,A,84568,19736,A1/A1c,P,DOG,R3
PDOG-R3-28,A,85586,18895,A1,P,DOG,R3
PDOG-R3-29,A,85586,10766,A1,P,DOG,R3
PDOG-R3-30,A,85661,18935,A1j,P,DOG,R3
PDOG-R3-5,A,84568,17299,A1/A1c,P,DOG,R3
PDOG-R3-6,A,84572,17566,A1/A1j,P,DOG,R3
PDOG-R3-7,A,85585,23765,A1/A1c,P,DOG,R3
PDOG-R3-8,A,85586,18925,A1,P,DOG,R3
PDOG-R3-9,A,85585,21197,A1/A1c,P,DOG,R3
PFAR-R3-1,A,84574,12566,A1j,P,FAR,R3
PFAR-R3-12,A,85661,11631,A1j,P,FAR,R3
PFAR-R3-14,A,85661,12602,A1j,P,FAR,R3
PFAR-R3-16,A,84574,8771,A1j,P,FAR,R3
PFAR-R3-17,A,84574,14713,A1j,P,FAR,R3
PFAR-R3-18,A,85661,8260,A1j,P,FAR,R3
PFAR-R3-19,A,85661,15862,A1j,P,FAR,R3
PFAR-R3-2,A,85661,18421,A1j,P,FAR,R3
PFAR-R3-20,A,84574,10643,A1j,P,FAR,R3
PFAR-R3-21,A,84574,11526,A1j,P,FAR,R3
PFAR-R3-22,A,85661,14706,A1j,P,FAR,R3
PFAR-R3-23,A,84574,16870,A1j,P,FAR,R3
PFAR-R3-24,A,84575,31147,A1j,P,FAR,R3
PFAR-R3-25,A,84574,17867,A1j,P,FAR,R3
PFAR-R3-27,A,84574,15776,A1j,P,FAR,R3
PFAR-R3-28,A,85661,12993,A1j,P,FAR,R3
PFAR-R3-29,A,84574,10957,A1j,P,FAR,R3
PFAR-R3-3,A,85661,10586,A1j,P,FAR,R3
PFAR-R3-30,A,84574,11611,A1j,P,FAR,R3
PFAR-R3-4,A,84574,10587,A1j,P,FAR,R3
PFAR-R3-8,A,85661,8126,A1j,P,FAR,R3
PFAR-R3-9,A,84575,18262,A1j,P,FAR,R3
PKAU-R1-1,A,84568,23570,A1/A1c,P,KAU,R1
PKAU-R1-10,A,85585,12821,A1/A1c,P,KAU,R1
PKAU-R1-11,A,84568,25238,A1/A1c,P,KAU,R1
PKAU-R1-14,A,85585,13624,A1/A1c,P,KAU,R1
PKAU-R1-16,A,84568,11543,A1/A1c,P,KAU,R1
PKAU-R1-17,A,85581,13921,A1,P,KAU,R1
PKAU-R1-19,A,84568,16604,A1/A1c,P,KAU,R1
PKAU-R1-2,A,85585,24751,A1/A1c,P,KAU,R1
PKAU-R1-20,A,85581,20209,A1,P,KAU,R1
PKAU-R1-22,A,85581,21885,A1,P,KAU,R1
PKAU-R1-23,A,85586,17387,A1,P,KAU,R1
PKAU-R1-25,A,84568,15969,A1/A1c,P,KAU,R1
PKAU-R1-26,A,85585,16179,A1/A1c,P,KAU,R1
PKAU-R1-28,A,85581,13398,A1,P,KAU,R1
PKAU-R1-29,A,85581,14339,A1,P,KAU,R1
