Clade,sample_id,its2_count,species,region,ASV1236,ASV0421,ASV0691,ASV0899,ASV1004,ASV1041,ASV1058,ASV12542,ASV1294,ASV13113,ASV1318,ASV2269,ASV2542,ASV2660,ASV2737,ASV2840,ASV3053,ASV3077,ASV3134,ASV3140,ASV3579,ASV6119,ASV7557,ASV8422,ASV1086,ASV1310,ASV15750,ASV16905,ASV2033,ASV2089,ASV2127,ASV2725,ASV2804,ASV3075,ASV3327,ASV3342,ASV3532,ASV3600,ASV4013,ASV4136,ASV4195,ASV4407,ASV4717,ASV6794,ASV8324,ASV8981,ASV9859,ASV0936,ASV12683,ASV1293,ASV13055,ASV17063,ASV2228,ASV2769,ASV2803,ASV2896,ASV3062,ASV3107,ASV3265,ASV3666,ASV4497,ASV6914,ASV0576,ASV0673,ASV0772,ASV0862,ASV0898,ASV0910,ASV0964,ASV10059,ASV10263,ASV1088,ASV1101,ASV1183,ASV11956,ASV12774,ASV1321,ASV13793,ASV14482,ASV15483,ASV2062,ASV2132,ASV2413,ASV2490,ASV2594,ASV2822,ASV2863,ASV2910,ASV2980,ASV3307,ASV3474,ASV3502,ASV4236,ASV4842,ASV4894,ASV5290,ASV5501,ASV5795,ASV5987,ASV6267,ASV6862,ASV7145,ASV7673,ASV7789,ASV7809,ASV8002,ASV8205,ASV9155,ASV9221,ASV9311,ASV9557,ASV9936,ASV1445,ASV4232,ASV6479,ASV0142,ASV0378,ASV1122,ASV0123,ASV2064,ASV4459,ASV0448,ASV0397,ASV0485,ASV1566,ASV1365,ASV1065,ASV0722,ASV12660,ASV0223,ASV0229,ASV0877,ASV0983,ASV0626,ASV4146,ASV4175,ASV2082,ASV2272,ASV2245,ASV0590,ASV0217,ASV0416,ASV1056,ASV7777,ASV0455,ASV0604,ASV6100,ASV11359,ASV6604,ASV5004,ASV1483,ASV9773,ASV4059,ASV1193,ASV4610,ASV0742,ASV1502,ASV0195,ASV1213,ASV1648,ASV6984,ASV0396,ASV4297,ASV2622,ASV3512,ASV2411,ASV2291,ASV0807,ASV1292,ASV1035,ASV0070,ASV0255,ASV0057,ASV0077,ASV0625,ASV2464,ASV1315,ASV2673,ASV2161,ASV0337,ASV7680,ASV0611,ASV3118,ASV1284,ASV0889,ASV4649,ASV1108,ASV0738,ASV0473,ASV0598,ASV0429,ASV1549,ASV1203,ASV4532,ASV0274,ASV0163,ASV1298,ASV9424,ASV0412,ASV0284
1,SKAU-R2-23,503,S,KAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,SWAJ-R4-3,17329,S,WAJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5309798492077187,0,0,0,0.054055777117409054,0,0,0,0,0,0,0,0,0,0,0.054055777117409054,0,0,0,0,0,0,0,-0.6390914034425359,0,0,0,0,0,0
1,SYAN-R3-19,10287,S,YAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021253444435286983,0,0,0,0,0,0,0,0,0,0,0.021253444435286983,0,0,0,0,0,0,0,0.0551549961109683,0,0,0,0,-1.400132236495874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21054816962203748,0,0,0,0,0,0.958022707652983,0,0,0,-0.08794584752970502,0,0,0.6429416610130874,0,0,0,0,0
0,PMAQ-R2-19,339,P,MAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,SDOG-R3-6,18446,S,DOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06676569631226137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06676569631226137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,PDOG-R2-22,6330,P,DOG,1.662997553930163,1.1981090253511972,0.7074861089027262,0.8424054268020971,0.3020210007945616,-0.05465394314417038,0.09949673668308767,-0.39112617976538333,0.9612666296788257,-0.39112617976538333,1.5595345720485279,-0.05465394314417038,0.782387417075844,-0.9019518035313743,-1.227374203966002,0.09949673668308767,0.2681194491188803,-0.9591102173713226,-0.9591102173713226,1.3609680330702405,-1.227374203966002,-0.9591102173713226,-0.32658765862781225,-1.227374203966002,2.2737845286762086,-0.460119051252335,-2.693711272759429,-2.693711272759429,-0.42502773144106465,1.61484821003258,0.5384097788587923,-0.26596303681137723,-1.1532662318122804,-0.07875149472323084,-0.26596303681137723,0.9172066398847951,-0.460119051252335,-1.1532662318122804,-0.07875149472323084,0.9172066398847951,0.42718414374856817,-0.07875149472323084,-0.42502773144106465,-0.42502773144106465,-0.42502773144106465,-2.693711272759429,-0.8478845822610985,1.177489738148462,-1.3944282886291681,2.4420871642908324,-1.5950989840913192,-1.0842733603253287,1.9665782124497415,-1.5950989840913192,-1.0842733603253287,-1.3944282886291681,-0.49648669542320967,-0.49648669542320967,0.47035631561377667,-1.5950989840913192,-1.5950989840913192,-1.5950989840913192,0.9261753098675554,0.11969944400060717,-1.3074169116395384,1.2890808035569243,1.2828502538062878,-0.7478011237041158,1.2952727738048448,-1.3074169116395384,-0.614269731079593,0.23302812930761085,-0.23697549993812528,3.25779895884152,-0.7478011237041158,-1.489738468433493,-0.031123445733976407,-1.0197348391877576,-1.489738468433493,-2.000564092199484,0.7926439172430335,-0.7012811080692227,-0.7965912878735479,0.3665595219321327,-2.000564092199484,-0.20880462297142888,0.9261753098675554,-2.000564092199484,1.8097952594521622,0.9081568043648778,-0.6568293454983891,-0.5342270234060567,-0.1287619152978925,-0.5734477365593382,-1.0197348391877576,-0.7012811080692227,-1.0197348391877576,-1.489738468433493,-0.18140564878331444,-0.1287619152978925,-0.18140564878331444,-0.614269731079593,-1.0197348391877576,-1.3074169116395384,-1.8464134123722256,-0.7478011237041158,-1.489738468433493,-2.000564092199484,-1.3074169116395384,-0.3583363569423925,-0.6568293454983891,-0.18140564878331444,-0.460119051252335,-1.3074169116395384,-1.227374203966002,1.9442487360516534,1.2765806407926927,-0.7965912878735479,2.121179444210731,-1.227374203966002,-1.0842733603253287,3.342567290138345,3.2143716654095016,2.6533962579580397,-0.5342270234060567,-0.5734477365593382,1.5306864177108697,2.7341712981432513,-1.3944282886291681,3.7273688426890006,3.890158885106967,-1.227374203966002,1.92140924408183,-1.1532662318122804,-0.9591102173713226,-1.489738468433493,1.5689686042818867,-1.1532662318122804,-1.712882019747703,0.9783610630381263,1.7331293777042447,2.186562203473583,-1.5950989840913192,-1.227374203966002,4.302054883545422,-0.9591102173713226,-1.5950989840913192,-0.6568293454983891,-1.712882019747703,-1.712882019747703,-1.712882019747703,-2.1828856489934383,-0.20880462297142888,-1.1532662318122804,-0.7965912878735479,-1.0197348391877576,-1.489738468433493,3.173700625678574,1.5306864177108697,-1.3074169116395384,-0.8478845822610985,1.7130079745048237,-0.07875149472323084,-0.23697549993812528,-0.42502773144106465,0.9698503733702175,1.098025566794215,0.7074861089027262,1.3609680330702405,0.8711155326845281,5.179632709818149,2.986461336257638,3.192392758690727,5.100425207690719,2.166101131602243,0.5643852652620529,-0.614269731079593,-0.18140564878331444,-0.7478011237041158,2.43025270664383,-0.42502773144106465,-1.489738468433493,-0.5342270234060567,0.7074861089027262,-0.39112617976538333,-1.712882019747703,-0.5342270234060567,0.9438748869669569,1.3724624124959757,0.09949673668308767,-0.7965912878735479,-0.10344410731360254,1.163503496173722,-1.489738468433493,1.6457557474956568,0.8424054268020971,1.0904783611588318,-0.7012811080692227,1.4441184014024104,1.7410659272999816
0,PFAR-R3-30,11611,P,FAR,0,0,0,0,0,0,0,0,0,0,0.481735100488768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8536398153282685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7854175142869901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8089480116971841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30584443402510386,0,0,0,0,0,0,0,0,0,0,0,0,0.04348016955761258,0,0,0.1832421119327714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7550275266601587
0,PDOG-R1-27,17932,P,DOG,0,1.15250131105149,0,-0.8624017094907748,0,0.9781479239067123,-1.2931846255832289,0,-1.660909405708546,0,0,0,0,0,0,-1.2190766534295072,0,0,-1.0855452608049845,0,0,0,0,0,0,-0.3923980802450391,0,0,0,0,-0.6800801526968199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2362105791773348,0,0,0,0,0,0.2362105791773348,-0.8624017094907748,0,0,0,-2.2486960706106656,0,0,0,0.33152075898165956,-0.8136115453213426,-1.0249206389885495,0.9701797542575359,0,0.36137372213134134,0.7958263671127574,0,0,0,-0.3027859215553521,0,0,0,0,0,0,0,-0.8624017094907748,0,-2.0663745138167107,0,0,0,0,0,0,0,0,0,-0.9136950038783254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2776644540054964,0,-0.3027859215553521,0,0,0,-0.45693660138261016,-0.16925452893082937,0,0,0,0,0,-0.029492586555670552,0.11215793050735634,0,0,0,0,0,0,0,0,0,1.2598598293719898,0.11215793050735634,0,0,1.1852911338744812,0,0,0,0,0,0,0,0,-0.007986381334707193,0,0,0,1.5125040450828968,0,0,0,1.0618469427833594,0,0,0,0,0,0.30074910031490587,-0.9677622251486011,-0.22054782331837997,2.1773474494799907,-0.24721607040054128,0.28500074334676695,1.8816589291344683,0.03368631506586084,0,0,0,0,1.9854104339865946,0,0,0,0,0,0,-0.9677622251486011,0.09310973553666191,1.4097241760185626,-0.6800801526968199,-0.16925452893082937,0,0,0,0.2362105791773348,0,0.6416756872854994,0,-0.12046436476139721,0
1,SYAN-R1-18,398,S,YAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30843823849545116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7435227637847739,0,0,0,0,0,0,0,0,0,0,0,0,0.31060096991077213,0,0,0,0,0,0,0,0,0,0,0,0,1.029065958455007,-0.057123810214545045,0,1.2320068024516981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46258891832270965,0,0,0,0,0,0,0,0,0,0,0
0,PYAN-R3-30,16814,P,YAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
