"","Sample","Species","Region","Reef","Lat","Lon","Collection.date"
"1","PMAQ-R1-3","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"2","PMAQ-R1-4","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"3","PMAQ-R1-6","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"4","PMAQ-R1-10","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"5","PMAQ-R1-12","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"6","PMAQ-R1-15","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"7","PMAQ-R1-16","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"8","PMAQ-R1-17","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"9","PMAQ-R1-20","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"10","PMAQ-R1-26","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"11","PMAQ-R1-27","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"12","PMAQ-R1-30","Pocillopora verrucosa","MAQ","R1",28.52616667,34.80397222,"Sep-11"
"13","PMAQ-R2-2","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"14","PMAQ-R2-3","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"15","PMAQ-R2-4","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"16","PMAQ-R2-5","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"17","PMAQ-R2-6","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"18","PMAQ-R2-7","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"19","PMAQ-R2-10","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"20","PMAQ-R2-12","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"21","PMAQ-R2-13","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"22","PMAQ-R2-14","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"23","PMAQ-R2-15","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"24","PMAQ-R2-16","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"25","PMAQ-R2-18","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"26","PMAQ-R2-19","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"27","PMAQ-R2-21","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"28","PMAQ-R2-22","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"29","PMAQ-R2-25","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"30","PMAQ-R2-27","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"31","PMAQ-R2-28","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"32","PMAQ-R2-29","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"33","PMAQ-R2-32","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"34","PMAQ-R2-35","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"35","PMAQ-R2-38","Pocillopora verrucosa","MAQ","R2",28.4268,34.75171389,"Mar-12"
"36","PWAJ-R1-1","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"37","PWAJ-R1-3","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"38","PWAJ-R1-4","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"39","PWAJ-R1-6","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"40","PWAJ-R1-7","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"41","PWAJ-R1-8","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"42","PWAJ-R1-10","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"43","PWAJ-R1-14","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"44","PWAJ-R1-16","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"45","PWAJ-R1-17","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"46","PWAJ-R1-19","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"47","PWAJ-R1-20","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"48","PWAJ-R1-22","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"49","PWAJ-R1-24","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"50","PWAJ-R1-26","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"51","PWAJ-R1-27","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"52","PWAJ-R1-28","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"53","PWAJ-R1-29","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"54","PWAJ-R1-30","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"55","PWAJ-R1-31","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"56","PWAJ-R1-33","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"57","PWAJ-R1-35","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"58","PWAJ-R1-37","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"59","PWAJ-R1-38","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"60","PWAJ-R1-39","Pocillopora verrucosa","WAJ","R1",26.18751389,36.3492,"Sep-11"
"61","PWAJ-R2-1","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"62","PWAJ-R2-2","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"63","PWAJ-R2-3","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"64","PWAJ-R2-4","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"65","PWAJ-R2-5","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"66","PWAJ-R2-7","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"67","PWAJ-R2-8","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"68","PWAJ-R2-9","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"69","PWAJ-R2-10","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"70","PWAJ-R2-11","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"71","PWAJ-R2-12","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"72","PWAJ-R2-13","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"73","PWAJ-R2-14","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"74","PWAJ-R2-15","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"75","PWAJ-R2-16","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"76","PWAJ-R2-17","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"77","PWAJ-R2-18","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"78","PWAJ-R2-19","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"79","PWAJ-R2-24","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"80","PWAJ-R2-25","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"81","PWAJ-R2-26","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"82","PWAJ-R2-27","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"83","PWAJ-R2-28","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"84","PWAJ-R2-29","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"85","PWAJ-R2-30","Pocillopora verrucosa","WAJ","R2",26.1666111,36.3922778,"Sep-11"
"86","PWAJ-R3-1","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"87","PWAJ-R3-2","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"88","PWAJ-R3-3","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"89","PWAJ-R3-4","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"90","PWAJ-R3-6","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"91","PWAJ-R3-8","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"92","PWAJ-R3-9","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"93","PWAJ-R3-10","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"94","PWAJ-R3-11","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"95","PWAJ-R3-13","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"96","PWAJ-R3-17","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"97","PWAJ-R3-18","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"98","PWAJ-R3-21","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"99","PWAJ-R3-22","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"100","PWAJ-R3-23","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"101","PWAJ-R3-25","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"102","PWAJ-R3-27","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"103","PWAJ-R3-28","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"104","PWAJ-R3-29","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"105","PWAJ-R3-30","Pocillopora verrucosa","WAJ","R3",26.24119444,36.44036111,"Mar-12"
"106","PYAN-R1-1","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"107","PYAN-R1-2","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"108","PYAN-R1-3","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"109","PYAN-R1-6","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"110","PYAN-R1-7","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"111","PYAN-R1-8","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"112","PYAN-R1-9","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"113","PYAN-R1-10","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"114","PYAN-R1-12","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"115","PYAN-R1-14","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"116","PYAN-R1-18","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"117","PYAN-R1-19","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"118","PYAN-R1-22","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"119","PYAN-R1-23","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"120","PYAN-R1-25","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"121","PYAN-R1-27","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"122","PYAN-R1-30","Pocillopora verrucosa","YAN","R1",23.9474167,38.1755,"Sep-11"
"123","PYAN-R3-1","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"124","PYAN-R3-2","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"125","PYAN-R3-5","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"126","PYAN-R3-6","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"127","PYAN-R3-7","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"128","PYAN-R3-9","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"129","PYAN-R3-10","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"130","PYAN-R3-11","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"131","PYAN-R3-13","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"132","PYAN-R3-15","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"133","PYAN-R3-17","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"134","PYAN-R3-19","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"135","PYAN-R3-21","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"136","PYAN-R3-23","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"137","PYAN-R3-27","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"138","PYAN-R3-29","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"139","PYAN-R3-30","Pocillopora verrucosa","YAN","R3",23.95533333,38.20444444,"Mar-12"
"140","PKAU-R1-1","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"141","PKAU-R1-2","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"142","PKAU-R1-4","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"143","PKAU-R1-7","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"144","PKAU-R1-8","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"145","PKAU-R1-10","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"146","PKAU-R1-11","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"147","PKAU-R1-40","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"148","PKAU-R1-14","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"149","PKAU-R1-16","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"150","PKAU-R1-17","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"151","PKAU-R1-19","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"152","PKAU-R1-20","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"153","PKAU-R1-22","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"154","PKAU-R1-23","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"155","PKAU-R1-25","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"156","PKAU-R1-26","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"157","PKAU-R1-28","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"158","PKAU-R1-29","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"159","PKAU-R1-31","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"160","PKAU-R1-32","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"161","PKAU-R1-34","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"162","PKAU-R1-35","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"163","PKAU-R1-37","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"164","PKAU-R1-38","Pocillopora verrucosa","KAU","R1",22.31916667,38.85444444,"Mar-12"
"165","PKAU-R2-2","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"166","PKAU-R2-3","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"167","PKAU-R2-5","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"168","PKAU-R2-6","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"169","PKAU-R2-7","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"170","PKAU-R2-9","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"171","PKAU-R2-10","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"172","PKAU-R2-11","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"173","PKAU-R2-13","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"174","PKAU-R2-14","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"175","PKAU-R2-15","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"176","PKAU-R2-17","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"177","PKAU-R2-18","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"178","PKAU-R2-19","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"179","PKAU-R2-21","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"180","PKAU-R2-22","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"181","PKAU-R2-23","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"182","PKAU-R2-25","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"183","PKAU-R2-26","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"184","PKAU-R2-27","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"185","PKAU-R2-29","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"186","PKAU-R2-30","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"187","PKAU-R2-31","Pocillopora verrucosa","KAU","R2",22.06722222,38.76916667,"Mar-12"
"188","PKAU-R3-1","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"189","PKAU-R3-2","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"190","PKAU-R3-3","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"191","PKAU-R3-4","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"192","PKAU-R3-5","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"193","PKAU-R3-6","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"194","PKAU-R3-7","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"195","PKAU-R3-9","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"196","PKAU-R3-10","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"197","PKAU-R3-11","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"198","PKAU-R3-12","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"199","PKAU-R3-13","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"200","PKAU-R3-14","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"201","PKAU-R3-15","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"202","PKAU-R3-17","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"203","PKAU-R3-18","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"204","PKAU-R3-19","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"205","PKAU-R3-20","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"206","PKAU-R3-21","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"207","PKAU-R3-22","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"208","PKAU-R3-23","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"209","PKAU-R3-25","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"210","PKAU-R3-26","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"211","PKAU-R3-27","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"212","PKAU-R3-28","Pocillopora verrucosa","KAU","R3",22.51333333,38.92138889,"Mar-12"
"213","PDOG-R1-1","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"214","PDOG-R1-2","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"215","PDOG-R1-5","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"216","PDOG-R1-6","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"217","PDOG-R1-7","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"218","PDOG-R1-8","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
"219","PDOG-R1-9","Pocillopora verrucosa","DOG","R1",19.63511111,40.57536111,"Sep-11"
