ASV,PMAQ.R1.3,PMAQ.R1.4,PMAQ.R1.6,PMAQ.R1.10,PMAQ.R1.12,PMAQ.R1.15,PMAQ.R1.16,PMAQ.R1.17,PMAQ.R1.20,PMAQ.R1.26,PMAQ.R1.27,PMAQ.R1.30,PMAQ.R2.2,PMAQ.R2.3,PMAQ.R2.4,PMAQ.R2.5,PMAQ.R2.6,PMAQ.R2.7,PMAQ.R2.10,PMAQ.R2.12,PMAQ.R2.13,PMAQ.R2.14,PMAQ.R2.15,PMAQ.R2.16,PMAQ.R2.18,PMAQ.R2.19,PMAQ.R2.21,PMAQ.R2.22,PMAQ.R2.25,PMAQ.R2.27,PMAQ.R2.28,PMAQ.R2.29,PMAQ.R2.32,PMAQ.R2.35,PMAQ.R2.38,PWAJ.R1.1,PWAJ.R1.3,PWAJ.R1.4,PWAJ.R1.6,PWAJ.R1.7,PWAJ.R1.8,PWAJ.R1.10,PWAJ.R1.14,PWAJ.R1.16,PWAJ.R1.17,PWAJ.R1.19,PWAJ.R1.20,PWAJ.R1.22,PWAJ.R1.24,PWAJ.R1.26,PWAJ.R1.27,PWAJ.R1.28,PWAJ.R1.29,PWAJ.R1.30,PWAJ.R1.31,PWAJ.R1.33,PWAJ.R1.35,PWAJ.R1.37,PWAJ.R1.38,PWAJ.R1.39,PWAJ.R2.1,PWAJ.R2.2,PWAJ.R2.3,PWAJ.R2.4,PWAJ.R2.5,PWAJ.R2.7,PWAJ.R2.8,PWAJ.R2.9,PWAJ.R2.10,PWAJ.R2.11,PWAJ.R2.12,PWAJ.R2.13,PWAJ.R2.14,PWAJ.R2.15,PWAJ.R2.16,PWAJ.R2.17,PWAJ.R2.18,PWAJ.R2.19,PWAJ.R2.24,PWAJ.R2.25,PWAJ.R2.26,PWAJ.R2.27,PWAJ.R2.28,PWAJ.R2.29,PWAJ.R2.30,PWAJ.R3.1,PWAJ.R3.2,PWAJ.R3.3,PWAJ.R3.4,PWAJ.R3.6,PWAJ.R3.8,PWAJ.R3.9,PWAJ.R3.10,PWAJ.R3.11,PWAJ.R3.13,PWAJ.R3.17,PWAJ.R3.18,PWAJ.R3.21,PWAJ.R3.22,PWAJ.R3.23,PWAJ.R3.25,PWAJ.R3.27,PWAJ.R3.28,PWAJ.R3.29,PWAJ.R3.30,PYAN.R1.1,PYAN.R1.2,PYAN.R1.3,PYAN.R1.6,PYAN.R1.7,PYAN.R1.8,PYAN.R1.9,PYAN.R1.10,PYAN.R1.12,PYAN.R1.14,PYAN.R1.18,PYAN.R1.19,PYAN.R1.22,PYAN.R1.23,PYAN.R1.25,PYAN.R1.27,PYAN.R1.30,PYAN.R3.1,PYAN.R3.2,PYAN.R3.5,PYAN.R3.6,PYAN.R3.7,PYAN.R3.9,PYAN.R3.10,PYAN.R3.11,PYAN.R3.13,PYAN.R3.15,PYAN.R3.17,PYAN.R3.19,PYAN.R3.21,PYAN.R3.23,PYAN.R3.27,PYAN.R3.29,PYAN.R3.30,PKAU.R1.1,PKAU.R1.2,PKAU.R1.4,PKAU.R1.7,PKAU.R1.8,PKAU.R1.10,PKAU.R1.11,PKAU.R1.40,PKAU.R1.14,PKAU.R1.16,PKAU.R1.17,PKAU.R1.19,PKAU.R1.20,PKAU.R1.22,PKAU.R1.23,PKAU.R1.25,PKAU.R1.26,PKAU.R1.28,PKAU.R1.29,PKAU.R1.31,PKAU.R1.32,PKAU.R1.34,PKAU.R1.35,PKAU.R1.37,PKAU.R1.38,PKAU.R2.2,PKAU.R2.3,PKAU.R2.5,PKAU.R2.6,PKAU.R2.7,PKAU.R2.9,PKAU.R2.10,PKAU.R2.11,PKAU.R2.13,PKAU.R2.14,PKAU.R2.15,PKAU.R2.17,PKAU.R2.18,PKAU.R2.19,PKAU.R2.21,PKAU.R2.22,PKAU.R2.23,PKAU.R2.25,PKAU.R2.26,PKAU.R2.27,PKAU.R2.29,PKAU.R2.30,PKAU.R2.31,PKAU.R3.1,PKAU.R3.2,PKAU.R3.3,PKAU.R3.4,PKAU.R3.5,PKAU.R3.6,PKAU.R3.7,PKAU.R3.9,PKAU.R3.10,PKAU.R3.11,PKAU.R3.12,PKAU.R3.13,PKAU.R3.14,PKAU.R3.15,PKAU.R3.17,PKAU.R3.18,PKAU.R3.19,PKAU.R3.20,PKAU.R3.21,PKAU.R3.22,PKAU.R3.23,PKAU.R3.25,PKAU.R3.26,PKAU.R3.27,PKAU.R3.28,PDOG.R1.1,PDOG.R1.2,PDOG.R1.5,PDOG.R1.6,PDOG.R1.7,PDOG.R1.8,PDOG.R1.9,PDOG.R1.12,PDOG.R1.13,PDOG.R1.14,PDOG.R1.16,PDOG.R1.18,PDOG.R1.19,PDOG.R1.20,PDOG.R1.21,PDOG.R1.22,PDOG.R1.23,PDOG.R1.24,PDOG.R1.27,PDOG.R1.28,PDOG.R1.29,PDOG.R1.30,PDOG.R2.1,PDOG.R2.2,PDOG.R2.3,PDOG.R2.5,PDOG.R2.6,PDOG.R2.8,PDOG.R2.9,PDOG.R2.10,PDOG.R2.11,PDOG.R2.12,PDOG.R2.15,PDOG.R2.17,PDOG.R2.19,PDOG.R2.20,PDOG.R2.21,PDOG.R2.22,PDOG.R2.23,PDOG.R2.24,PDOG.R2.25,PDOG.R2.26,PDOG.R3.5,PDOG.R3.6,PDOG.R3.7,PDOG.R3.8,PDOG.R3.9,PDOG.R3.10,PDOG.R3.11,PDOG.R3.12,PDOG.R3.14,PDOG.R3.16,PDOG.R3.18,PDOG.R3.19,PDOG.R3.20,PDOG.R3.21,PDOG.R3.24,PDOG.R3.26,PDOG.R3.27,PDOG.R3.28,PDOG.R3.29,PDOG.R3.30,PFAR.R3.1,PFAR.R3.2,PFAR.R3.3,PFAR.R3.4,PFAR.R3.8,PFAR.R3.9,PFAR.R3.12,PFAR.R3.14,PFAR.R3.16,PFAR.R3.17,PFAR.R3.18,PFAR.R3.19,PFAR.R3.20,PFAR.R3.21,PFAR.R3.22,PFAR.R3.23,PFAR.R3.24,PFAR.R3.25,PFAR.R3.27,PFAR.R3.28,PFAR.R3.29,PFAR.R3.30
ASV0001,914,0,652,0,660,0,602,609,1245,331,390,186,1154,459,0,0,0,660,0,0,0,4321,0,0,1654,904,0,1063,949,341,503,0,0,214,0,0,555,0,1055,0,2044,542,671,1379,964,739,394,1029,831,1454,2041,3914,1810,998,0,497,721,1000,840,0,1989,5630,530,2787,2560,984,0,1618,1215,1143,5240,1089,2709,1452,1472,374,2295,1368,4585,1984,1216,2155,3474,2331,3214,0,1073,703,556,1313,890,438,0,583,1255,830,1545,1690,1416,1884,0,1581,2431,2107,0,4439,2381,5450,6338,1143,1339,1254,2498,658,2161,1022,1107,1772,329,1133,2398,2393,254,259,313,0,682,566,1462,578,3888,782,813,482,0,0,670,0,275,444,0,0,317,187,134,2197,1985,0,0,891,1520,1208,4551,1477,999,1876,0,4508,2035,1645,7285,2011,1120,61,62,171,216,118,1266,0,138,3212,1001,0,343,3747,892,467,0,1140,6008,143,0,69,635,399,1422,2889,560,3586,1716,385,420,2305,1920,174,1183,356,697,382,1202,196,0,0,801,261,577,0,634,851,4341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0002,69520,134733,25545,42023,76394,54516,18265,85333,59213,66607,50911,32493,24502,38211,89141,80761,113136,49847,33651,38755,47664,10805,59522,53808,29612,20676,62880,70919,24061,12651,14991,9638,9685,2739,5839,3458,9131,22269,12956,22815,15128,7407,7523,6745,9281,7349,9771,7858,20371,4245,38718,128736,21008,19972,52237,11646,31904,10100,20566,17054,28726,12520,24831,16001,3573,6856,10456,7253,5465,10221,6721,5506,29238,33232,29093,10061,3347,23214,51054,19995,15887,18731,37045,32358,28128,30049,33950,11427,30438,46006,66035,4709,22189,18169,28990,85979,59856,26429,30041,14028,82214,37370,36652,7120,26898,28554,19587,26024,30902,34942,45921,21885,48374,21653,21378,47422,30955,12470,17631,12453,108769,4611,21967,31725,36772,36845,19626,15843,7340,58546,21922,29341,18266,34017,48191,35638,9524,27644,15329,15243,28445,17500,1065,24549,808,13332,2682,11919,34218,4224,5962,17298,8888,9370,3526,5530,21134,10317,25857,3626,3165,9075,6709,113,325,5410,2738,3362,1385,5445,11405,2414,7521,18415,13203,1627,2351,14502,3455,3420,4324,712,1524,735,2339,2580,4640,17785,9489,19730,30137,60875,45756,14708,10582,14377,15486,19145,53660,29458,10000,668,30987,12064,7317,5354,18112,690,1283,4401,7597,3759,280,456,2344,2797,868,1882,250,896,2895,3521,2211,1194,2069,855,793,1405,747,1814,11773,2418,520,907,5939,263,163,58,189,0,3,0,70,234,22,0,0,0,0,30,950,28,22,41,0,259,1306,2163,903,416,743,46,2788,220,268,2263,2114,1129,3267,435,2411,1243,509,5237,62,311,26,106,8639,149,150,194,2387,2259,11949,48,0,54,462,1813,75,3231,2128,16,113,3512
ASV0003,5670,2190,743,1346,2435,1966,404,1620,169,278,413,119,12015,178,162,141,1694,448,2627,172,123,1152,301,304,1413,200,843,1465,4669,194,259,151,86,7610,1399,346,758,180,564,136,760,767,373,560,758,570,443,1244,766,1063,1324,947,233,659,92,180,238,2341,519,255,1496,13572,1950,1800,5510,1009,1248,883,2496,320,1109,923,2326,2953,1417,440,1004,2034,1029,2052,1684,1279,1563,2791,2577,137,2935,407,303,1201,226,196,199,229,434,3844,686,350,259,350,2050,701,1854,231,1391,11068,5631,12228,9542,13314,4118,6616,4926,1318,14053,13153,6511,3384,814,10184,15598,4707,14432,7229,1424,567,9960,4970,6408,4360,2820,5050,4074,11782,572,4634,2767,229,8488,6167,3975,6639,5504,1484,16126,3609,2690,2745,6064,5030,1798,3535,4335,4570,5562,1718,3209,1986,7207,1383,5014,3466,11812,73,14181,13699,11156,19489,19233,9732,24253,16745,11762,18077,1066,13075,32713,35892,9191,31235,33417,30985,37873,45512,41733,25778,13754,6706,17367,14633,5331,3685,7131,8512,15890,6406,5148,863,20099,4092,12739,28061,20863,5159,6203,12739,11875,12409,1816,1377,19841,36678,88898,57759,73440,62003,51041,51138,47213,15298,45279,62311,75549,73148,53334,41987,62573,83949,28338,54391,37201,74068,36541,48510,80942,40439,39802,22357,7364,11359,1114,2316,1154,9922,15139,7040,1721,6731,25295,3037,31632,11024,12095,38400,61060,48689,71377,60472,80442,42225,54446,70036,38924,46283,50931,62627,46799,45937,51305,39240,64347,42106,34461,51405,58814,45037,13369,1170,29146,28677,8647,35928,29702,28238,27291,25728,37311,10622,38879,41915,54828,38694,40708,6886,18970,64518
ASV0004,19395,7778,13006,7056,12744,3340,10356,29976,28223,3527,9555,3576,9447,5580,6334,2009,15603,15389,12920,2048,15483,63599,2822,2514,42515,43166,6884,22463,17696,6622,8161,972,1300,5567,1212,462,7641,1793,23671,459,22801,12966,8379,25698,12477,14215,6392,17756,11239,20620,37216,78714,26565,19272,754,5713,7668,16777,14771,7359,32457,76841,13522,42322,34307,21788,19167,30194,28930,23461,87411,23324,36262,24342,21747,10377,44296,17225,68408,31521,18516,31343,58700,29622,54174,1173,20018,26271,15822,4682,23899,8873,8378,31994,33242,21579,6598,26687,22927,13935,28393,28014,25161,27406,4405,52945,25196,59942,51155,21367,8887,12112,29747,8446,23956,12257,15529,20847,4341,15589,37537,19461,5517,1965,2975,1302,8009,8602,18421,11693,24151,7701,8255,5537,443,235,4259,0,3239,6318,0,1721,3511,1881,3006,17941,19820,8126,4983,22590,6053,9151,80510,25325,18308,37713,14713,37762,46629,35411,60649,24245,29176,228,2298,791,4295,1435,4219,95,767,13463,5759,820,5880,14888,5655,4038,604,6766,31095,200,3488,6298,2554,2567,6024,28756,4596,27533,16931,2811,3501,30460,19821,560,4507,9315,11412,5431,14698,8032,3261,149,9251,2915,6311,2701,4621,8997,27720,6555,129,95,116,199,179,90,0,0,830,265,421,441,618,85,79,204,0,204,268,252,147,99,328,530,0,28,20,45,35,38,18,73,38,42,0,58,0,31,0,29,0,0,0,0,140,132,0,92,0,168,1981,64,0,122,113,110,123,68,257,159,57,178,103,0,77,7,217,293,34,165,112,110,126,38,114,0,117,154,164,127,119,35,0,196
ASV0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0006,0,132,110,186,147,0,204,699,0,167,252,0,0,0,114,0,0,193,0,0,0,0,0,0,648,166,0,290,0,0,66,0,0,107,0,0,76,0,102,0,0,165,53,0,0,0,0,209,0,72,0,160,0,0,0,0,0,0,0,0,215,120,0,80,0,104,0,95,66,0,0,0,216,0,114,0,0,0,436,238,0,266,79,97,249,0,0,117,0,0,0,0,0,170,89,0,55,0,0,159,0,65,147,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0007,359,0,270,0,255,0,180,195,473,134,152,123,465,182,0,0,0,209,0,0,0,1630,0,0,664,294,0,396,277,114,185,0,0,74,0,0,239,0,352,0,650,189,245,564,390,273,147,437,310,602,764,1309,628,343,0,179,316,415,323,0,750,2069,194,932,850,399,0,605,488,463,1981,427,1093,567,564,156,717,536,1777,782,492,789,1329,965,1313,0,432,270,152,605,339,187,0,196,464,294,591,659,519,649,0,608,945,852,0,1725,932,2053,2306,431,518,471,754,258,841,383,354,641,128,358,647,763,75,88,143,0,261,241,465,168,1290,301,301,152,0,0,227,0,104,148,0,0,136,83,0,836,758,0,0,341,578,415,1282,506,338,660,0,1750,817,612,2773,732,407,0,0,0,63,0,502,0,62,1150,363,0,117,1388,362,183,0,438,2224,0,0,0,259,161,463,1042,193,1383,620,148,173,923,737,80,416,120,244,109,411,75,0,0,252,119,188,0,211,284,1074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0008,24991,48816,9702,15169,28033,16546,5153,30451,19591,23183,18265,12301,8848,14367,29533,27637,39079,14352,10553,13099,15948,3943,20996,19043,10846,6992,21339,25690,6624,4370,5280,3465,3586,1136,2238,1405,3480,7996,4614,7855,4614,2778,2739,2519,3554,2804,3656,3106,7535,1631,14532,44576,6353,6919,18962,4191,11656,4033,7302,6129,10965,4810,9450,5355,1146,2590,3963,2877,2150,3785,2659,2086,11177,12785,11197,3581,1069,8476,19018,7555,6160,6926,14026,11821,10760,11209,12647,4021,7642,16158,23527,1812,8116,6570,10777,31185,22697,9952,11115,4409,23731,13611,13818,2700,9844,10419,7203,9301,11185,12444,17356,8245,14457,7629,7621,17752,10561,4114,5523,3806,27794,1317,7650,10765,13268,13695,6909,5978,2327,15346,7365,9918,6575,11651,17782,13400,3281,9976,5370,4502,8734,6292,382,8834,314,4933,972,4550,12078,1659,2142,5911,2235,3318,1215,2184,7682,3964,9306,1374,1271,3494,2438,65,105,1898,1045,1221,544,1909,4503,814,2789,6592,4221,582,896,5180,1224,1319,1629,257,643,296,863,971,1510,5984,3425,7045,10615,22319,16920,5544,3790,5016,5737,6471,17070,10145,3285,264,10900,4196,2648,1946,6424,231,445,1586,1856,1204,102,215,830,1003,305,684,0,263,787,929,612,393,685,301,269,443,266,698,3960,871,173,242,1787,0,0,0,83,0,1,0,29,88,0,0,0,0,29,0,343,12,0,0,0,0,397,712,308,153,291,22,991,79,111,805,756,287,914,195,899,467,200,1931,0,0,15,0,2651,29,52,83,822,915,4175,0,24,0,157,541,0,981,653,5,0,1184
ASV0009,316,0,201,0,199,0,143,186,390,98,114,58,410,172,0,0,0,185,0,0,0,1421,0,0,527,300,0,355,268,90,150,0,0,88,0,0,189,0,311,0,511,164,199,427,335,235,131,387,263,522,722,1225,542,346,0,171,248,343,281,0,730,1805,188,845,779,349,0,554,421,434,1689,369,1074,508,472,109,621,460,1519,647,419,726,1174,916,1163,0,368,260,129,519,262,141,0,191,414,264,508,558,467,516,0,540,763,725,0,1452,862,1746,2097,368,432,398,766,236,666,286,357,583,106,342,577,642,79,96,95,0,237,206,393,153,1217,270,311,153,0,0,191,0,89,124,0,0,92,52,0,683,653,0,0,290,496,351,1035,461,279,700,0,1531,717,583,2404,673,357,25,0,0,58,0,454,0,0,976,304,0,119,1218,321,165,0,360,1869,0,0,0,210,122,409,984,183,1205,510,99,149,834,669,55,356,103,204,124,357,55,0,0,283,76,193,0,196,290,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV0010,0,46,0,116,62,42,9,0,0,0,17,13,0,29,65,27,0,25,4,9,0,0,8,0,0,40,0,0,30,0,15,15,0,21,14,0,0,0,19,0,18,0,0,0,0,25,0,29,12,33,0,0,0,0,0,0,0,0,0,41,10,31,14,0,0,0,0,0,0,14,0,0,0,35,0,0,19,0,0,10,0,23,0,33,0,0,21,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,31,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,18,0,8,0,0,6,0,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
