ASV,seed23_run2,seed105_run3,seed12_run4
ASV0001,7,1,8
ASV0002,7,1,8
ASV0003,9,8,10
ASV0004,7,1,8
ASV0005,3,6,1
ASV0006,7,1,8
ASV0007,7,1,8
ASV0008,7,1,8
ASV0009,7,1,8
ASV0010,3,6,1
ASV0011,1,9,12
ASV0012,7,1,8
ASV0013,9,8,10
ASV0014,9,8,10
ASV0015,7,1,8
ASV0016,9,8,10
ASV0017,7,1,8
ASV0018,3,6,1
ASV0019,3,6,1
ASV0020,3,6,1
ASV0022,6,10,5
ASV0023,7,1,8
ASV0024,7,1,8
ASV0025,3,6,1
ASV0027,3,6,1
ASV0030,3,6,1
ASV0031,3,6,1
ASV0032,7,1,8
ASV0033,6,10,5
ASV0034,9,8,10
ASV0035,3,6,1
ASV0036,6,10,5
ASV0037,4,13,3
ASV0039,10,3,7
ASV0040,7,1,8
ASV0041,3,6,1
ASV0042,10,1,8
ASV0043,3,6,1
ASV0044,3,6,1
ASV0046,3,6,1
ASV0047,10,7,4
ASV0049,3,6,1
ASV0050,9,8,10
ASV0051,3,6,1
ASV0052,3,6,1
ASV0053,1,9,12
ASV0055,7,1,8
ASV0057,5,4,6
ASV0058,2,5,2
ASV0059,2,5,2
ASV0061,1,9,12
ASV0062,6,2,4
ASV0063,1,9,12
ASV0065,2,5,2
ASV0066,1,9,12
ASV0067,3,6,1
ASV0068,3,6,1
ASV0069,3,6,1
ASV0070,9,8,10
ASV0071,2,5,2
ASV0072,3,6,1
ASV0073,3,6,1
ASV0074,1,9,12
ASV0075,1,9,12
ASV0076,3,6,1
ASV0077,9,8,10
ASV0078,2,5,2
ASV0079,3,6,1
ASV0080,3,6,1
ASV0081,4,13,3
ASV0082,6,2,4
ASV0083,10,3,7
ASV0085,1,9,4
ASV0086,7,3,7
ASV0087,12,12,11
ASV0088,10,7,4
ASV0089,10,3,7
ASV0090,10,1,8
ASV0091,7,1,8
ASV0092,4,13,3
ASV0093,3,6,1
ASV0094,1,1,8
ASV0095,3,6,1
ASV0096,3,6,1
ASV0097,11,8,10
ASV0098,3,6,1
ASV0099,2,5,2
ASV0100,3,6,1
ASV0101,2,5,2
