ASV,seed23_run2,seed105_run3,seed12_run4
ASV0001,6,7,2
ASV0002,2,5,4
ASV0003,16,5,2
ASV0004,17,2,5
ASV0005,17,2,5
ASV0006,10,5,6
ASV0007,6,7,2
ASV0008,2,3,6
ASV0009,6,7,2
ASV0010,9,6,2
ASV0011,7,3,3
ASV0012,10,3,6
ASV0013,1,2,3
ASV0014,10,3,6
ASV0015,17,2,5
ASV0016,10,3,6
ASV0017,17,2,5
ASV0018,17,2,5
ASV0019,17,2,5
ASV0020,3,4,5
ASV0022,10,3,6
ASV0023,2,5,4
ASV0024,2,5,4
ASV0025,9,6,2
ASV0027,9,6,2
ASV0030,9,7,2
ASV0031,11,7,1
ASV0032,6,7,2
ASV0033,10,3,6
ASV0034,12,5,4
ASV0035,3,4,5
ASV0036,10,3,6
ASV0037,1,3,3
ASV0039,8,1,2
ASV0040,10,3,6
ASV0041,16,7,2
ASV0042,14,2,3
ASV0043,3,4,5
ASV0044,6,7,5
ASV0046,4,8,3
ASV0047,10,3,6
ASV0049,5,7,2
ASV0050,10,3,6
ASV0051,16,5,2
ASV0052,17,2,5
ASV0053,1,2,3
ASV0055,17,2,3
ASV0057,13,6,7
ASV0058,9,6,2
ASV0059,9,6,2
ASV0061,1,3,3
ASV0062,10,3,6
ASV0063,1,2,3
ASV0065,2,5,4
ASV0066,1,2,3
ASV0067,9,6,2
ASV0068,14,5,3
ASV0069,11,7,1
ASV0070,13,6,7
ASV0071,10,3,6
ASV0072,2,5,4
ASV0073,1,5,3
ASV0074,7,3,3
ASV0075,1,3,3
ASV0076,11,7,1
ASV0077,13,6,7
ASV0078,2,5,4
ASV0079,17,2,5
ASV0080,9,6,2
ASV0081,1,3,3
ASV0082,10,3,6
ASV0083,8,1,2
ASV0085,10,3,6
ASV0086,14,3,3
ASV0087,10,3,6
ASV0088,10,3,6
ASV0089,8,1,2
ASV0090,14,2,3
ASV0091,1,2,3
ASV0092,10,3,6
ASV0093,6,3,3
ASV0094,10,3,6
ASV0095,4,8,3
ASV0096,16,5,2
ASV0097,14,5,3
ASV0098,16,5,2
ASV0099,2,5,2
ASV0100,5,7,2
ASV0101,2,5,2
ASV0102,4,8,3
ASV0104,10,3,6
ASV0105,2,5,4
ASV0107,12,5,4
ASV0109,5,7,2
ASV0110,16,5,2
ASV0111,14,2,3
ASV0112,2,5,4
ASV0113,11,7,1
ASV0115,12,5,4
ASV0116,2,5,3
ASV0117,7,3,3
ASV0118,10,3,6
ASV0119,16,5,2
ASV0120,13,6,7
ASV0121,1,2,3
ASV0122,10,3,6
ASV0123,13,6,7
ASV0125,10,3,6
ASV0126,9,5,2
ASV0127,10,3,6
ASV0128,3,4,5
ASV0129,2,5,4
ASV0130,1,1,3
ASV0131,17,2,5
ASV0132,7,3,6
ASV0133,17,2,3
ASV0134,13,6,7
ASV0135,12,5,4
ASV0138,10,3,6
ASV0140,2,5,4
ASV0141,1,2,3
ASV0142,13,6,7
ASV0143,7,3,6
ASV0144,12,5,4
ASV0145,1,2,3
ASV0146,1,2,3
ASV0147,1,3,3
ASV0148,2,5,4
ASV0149,6,3,3
ASV0150,10,3,6
ASV0151,14,2,3
ASV0152,13,6,7
ASV0153,10,3,6
ASV0154,7,3,3
ASV0155,10,3,6
ASV0156,12,5,4
ASV0157,1,2,3
ASV0158,10,3,6
ASV0159,14,5,3
ASV0160,2,5,4
ASV0161,16,7,2
ASV0162,12,5,4
ASV0163,14,5,3
ASV0164,1,2,3
ASV0165,2,5,4
ASV0166,13,6,7
ASV0167,1,3,3
ASV0168,2,5,4
ASV0169,7,3,3
ASV0170,10,3,6
ASV0171,15,3,6
ASV0172,2,5,4
ASV0173,10,3,6
ASV0174,2,5,4
ASV0175,10,3,6
ASV0176,10,3,6
ASV0177,14,5,3
ASV0179,11,7,1
ASV0181,10,3,6
ASV0183,9,6,2
ASV0184,13,6,7
ASV0185,2,5,4
ASV0186,1,2,3
ASV0187,1,2,3
ASV0189,1,3,3
ASV0190,9,6,2
ASV0191,9,6,2
ASV0192,12,5,4
ASV0193,12,5,4
ASV0195,13,6,7
ASV0196,10,3,6
ASV0198,2,5,4
ASV0200,10,3,6
ASV0201,10,3,6
ASV0202,14,3,3
ASV0203,12,5,4
ASV0204,6,3,3
ASV0206,12,5,4
ASV0207,9,6,2
ASV0208,9,5,4
ASV0209,13,6,7
ASV0211,16,5,2
ASV0212,10,3,6
ASV0213,12,5,4
ASV0214,10,3,6
ASV0216,7,5,3
ASV0217,9,6,7
ASV0218,4,8,3
ASV0220,2,5,4
ASV0221,9,5,2
ASV0223,13,6,7
ASV0225,14,3,3
ASV0226,6,3,3
ASV0227,13,6,7
ASV0228,7,3,6
ASV0229,13,6,7
ASV0230,10,3,6
ASV0231,13,6,7
ASV0232,2,5,2
ASV0233,12,6,4
ASV0234,2,5,4
ASV0235,12,5,4
ASV0236,2,5,4
ASV0237,7,3,6
ASV0239,13,6,7
ASV0240,14,3,3
ASV0244,12,3,4
ASV0245,7,3,6
ASV0248,10,3,6
ASV0249,10,3,6
ASV0250,2,5,4
ASV0253,2,5,4
ASV0254,10,3,6
ASV0255,14,5,4
ASV0258,12,3,4
ASV0259,13,6,7
ASV0260,7,3,3
ASV0261,10,3,6
ASV0262,15,3,3
ASV0263,14,3,6
ASV0265,10,3,6
ASV0266,7,5,4
ASV0267,14,5,4
ASV0269,7,3,3
ASV0273,13,6,7
ASV0274,2,5,6
ASV0276,14,2,3
ASV0277,14,5,3
ASV0278,15,3,6
ASV0279,15,5,4
ASV0280,4,8,3
ASV0281,10,3,6
ASV0282,10,3,6
ASV0283,10,3,6
ASV0284,13,6,7
ASV0285,14,3,3
ASV0286,7,3,6
ASV0287,10,3,3
ASV0288,13,6,7
ASV0289,1,3,3
ASV0290,13,6,7
ASV0291,9,5,2
ASV0293,1,3,3
ASV0295,1,3,3
ASV0298,12,5,4
ASV0299,12,5,4
ASV0300,2,5,4
ASV0301,10,3,6
ASV0302,5,3,2
ASV0304,10,3,6
ASV0307,10,3,6
ASV0309,2,5,4
ASV0310,10,3,6
ASV0313,2,5,4
ASV0314,13,6,7
ASV0315,10,3,6
ASV0316,10,3,6
ASV0317,10,3,6
ASV0321,9,6,2
ASV0322,10,3,6
ASV0323,1,2,3
ASV0326,10,3,6
ASV0327,9,5,2
ASV0328,7,3,6
ASV0329,7,3,3
ASV0330,2,5,4
ASV0331,9,6,7
ASV0333,10,3,6
ASV0334,14,3,6
ASV0335,8,1,2
ASV0336,13,6,7
ASV0337,13,6,7
ASV0338,13,6,7
ASV0339,14,3,3
ASV0340,10,3,6
ASV0341,7,3,3
ASV0342,2,5,4
ASV0343,10,3,6
ASV0344,7,3,3
ASV0346,2,5,4
ASV0347,10,3,6
ASV0348,10,3,6
ASV0349,10,3,6
ASV0350,10,3,6
ASV0351,10,3,6
ASV0352,7,3,6
ASV0353,2,5,4
ASV0354,7,3,6
ASV0355,12,5,4
ASV0356,7,3,6
ASV0357,12,5,4
ASV0358,15,3,6
ASV0359,14,3,3
ASV0360,14,5,4
ASV0361,16,3,2
ASV0364,10,3,6
ASV0365,7,3,3
ASV0367,7,3,3
ASV0368,7,3,6
ASV0369,7,3,6
ASV0370,13,6,7
ASV0371,14,3,3
ASV0372,10,3,6
ASV0373,12,5,4
ASV0374,10,3,6
ASV0375,12,5,4
ASV0376,10,3,6
ASV0377,14,5,3
ASV0378,10,3,6
ASV0379,10,3,6
ASV0380,1,3,3
ASV0382,2,5,4
ASV0383,10,3,6
ASV0384,1,3,3
ASV0385,2,5,4
ASV0386,10,3,6
ASV0387,10,3,6
ASV0388,10,3,6
ASV0389,12,5,4
ASV0390,14,5,4
ASV0392,2,5,4
ASV0395,10,3,6
ASV0396,2,5,4
ASV0397,14,5,6
ASV0398,10,3,6
ASV0400,7,3,6
ASV0402,10,3,6
ASV0403,10,3,6
ASV0404,16,3,6
ASV0405,10,3,6
ASV0406,10,3,6
ASV0407,7,5,4
ASV0410,14,3,3
ASV0411,2,5,4
ASV0412,13,6,7
ASV0413,7,3,6
ASV0415,12,5,4
ASV0416,13,6,7
ASV0417,7,3,3
ASV0418,15,5,4
ASV0419,12,5,4
ASV0421,10,3,6
ASV0422,14,3,3
ASV0423,1,2,3
ASV0424,2,5,4
ASV0425,10,3,6
ASV0426,12,5,4
ASV0427,10,3,6
ASV0429,13,6,7
ASV0431,1,2,3
ASV0432,2,5,6
ASV0433,7,3,6
ASV0435,10,3,6
ASV0436,1,2,3
ASV0437,7,3,6
ASV0439,12,5,4
ASV0440,10,3,6
ASV0442,12,5,4
ASV0444,14,3,3
ASV0445,10,3,6
ASV0446,2,5,4
ASV0447,12,5,4
ASV0448,10,3,6
ASV0449,13,6,7
ASV0450,13,6,7
ASV0451,13,6,7
ASV0452,10,3,6
ASV0453,7,5,3
ASV0454,10,3,6
ASV0455,10,3,6
ASV0457,14,3,6
ASV0458,13,6,7
ASV0460,14,3,6
ASV0461,10,3,6
ASV0462,15,3,6
ASV0463,10,3,6
ASV0464,15,5,4
ASV0465,10,3,6
ASV0466,13,6,7
ASV0467,10,3,6
ASV0468,7,3,3
ASV0469,10,3,6
ASV0470,2,5,4
ASV0471,2,5,4
ASV0472,9,5,4
ASV0473,12,5,4
ASV0474,15,5,4
ASV0475,10,3,6
ASV0477,10,3,6
ASV0478,4,8,3
ASV0479,12,5,4
ASV0480,7,3,3
ASV0481,12,5,4
ASV0482,12,5,4
ASV0483,12,5,4
ASV0484,10,3,6
ASV0485,14,5,4
ASV0488,10,3,6
ASV0489,14,2,3
ASV0490,10,3,6
ASV0491,7,3,6
ASV0493,10,5,4
ASV0495,4,8,3
ASV0496,14,5,4
ASV0498,2,5,4
ASV0499,7,3,3
ASV0501,2,5,4
ASV0502,10,3,6
ASV0503,10,3,6
ASV0504,10,3,6
ASV0505,1,2,3
ASV0506,10,3,6
ASV0508,14,5,3
ASV0510,2,5,4
ASV0511,2,5,4
ASV0512,15,3,6
ASV0513,7,3,6
ASV0515,15,3,6
ASV0516,2,5,6
ASV0517,7,3,3
ASV0519,12,5,4
ASV0521,2,5,4
ASV0522,4,8,3
ASV0523,10,3,6
ASV0524,14,5,6
ASV0525,10,3,6
ASV0526,12,5,4
ASV0527,12,5,4
ASV0528,10,3,6
ASV0531,14,3,3
ASV0533,1,3,3
ASV0534,13,6,7
ASV0535,10,3,6
ASV0536,10,3,6
ASV0537,2,5,4
ASV0538,14,3,3
ASV0539,10,3,6
ASV0541,2,5,4
ASV0542,7,3,6
ASV0544,12,5,4
ASV0545,15,5,2
ASV0546,12,5,4
ASV0547,12,5,4
ASV0548,2,5,4
ASV0549,2,5,4
ASV0550,2,5,4
ASV0552,2,5,4
ASV0553,12,5,4
ASV0556,12,5,4
ASV0557,2,5,4
ASV0558,9,6,7
ASV0559,2,5,6
ASV0560,10,3,6
ASV0561,14,2,3
ASV0562,10,3,6
ASV0564,10,3,6
ASV0565,10,3,6
ASV0567,2,3,6
ASV0568,10,3,6
ASV0570,7,3,3
ASV0571,12,5,4
ASV0573,10,3,6
ASV0575,10,3,6
ASV0576,2,5,4
ASV0577,7,5,6
ASV0579,2,5,4
ASV0581,10,3,6
ASV0582,12,5,4
ASV0583,10,3,6
ASV0585,13,6,7
ASV0586,10,3,6
ASV0589,10,3,6
ASV0590,13,6,7
ASV0591,2,3,6
ASV0592,10,3,6
ASV0593,10,3,6
ASV0596,7,3,6
ASV0597,10,3,6
ASV0598,10,3,6
ASV0599,14,3,3
ASV0600,2,5,4
ASV0601,16,5,2
ASV0602,10,3,6
ASV0603,14,3,3
ASV0604,10,3,6
ASV0607,13,6,7
ASV0608,7,3,3
ASV0609,10,3,6
ASV0610,13,6,7
ASV0611,2,5,4
ASV0612,10,3,6
ASV0613,2,5,4
ASV0614,12,5,4
ASV0615,10,3,6
ASV0617,10,3,6
ASV0618,7,3,3
ASV0619,15,3,6
ASV0620,13,6,7
ASV0621,10,3,6
ASV0622,10,3,6
ASV0624,14,2,3
ASV0625,12,5,4
ASV0626,12,5,4
ASV0627,10,3,6
ASV0628,14,5,3
ASV0629,10,3,6
ASV0631,7,3,6
ASV0632,10,3,6
ASV0633,10,3,6
ASV0634,15,5,4
ASV0635,15,5,4
ASV0637,15,3,6
ASV0640,10,3,6
ASV0642,2,5,6
ASV0643,6,3,6
ASV0644,10,3,6
ASV0646,13,6,7
ASV0647,12,5,4
ASV0648,10,3,6
ASV0649,7,3,6
ASV0651,10,3,6
ASV0654,2,5,4
ASV0656,2,5,4
ASV0658,10,3,6
ASV0660,2,5,4
ASV0661,7,3,6
ASV0662,10,3,6
ASV0663,2,5,4
ASV0664,10,3,6
ASV0665,1,3,3
ASV0666,2,5,4
ASV0669,14,3,6
ASV0670,10,3,6
ASV0672,12,5,4
ASV0673,10,3,6
ASV0674,10,3,6
ASV0675,2,5,4
ASV0676,13,6,7
ASV0677,10,3,6
ASV0678,7,3,6
ASV0679,10,3,6
ASV0680,10,3,6
ASV0682,7,3,3
ASV0683,12,5,4
ASV0684,9,5,4
ASV0686,10,3,6
ASV0687,2,5,6
ASV0688,10,3,6
ASV0689,10,3,3
ASV0690,10,3,6
ASV0691,2,5,4
ASV0692,2,5,4
ASV0693,10,3,6
ASV0694,7,5,4
ASV0695,15,3,6
ASV0697,2,5,4
ASV0699,7,3,6
ASV0700,10,3,6
ASV0701,10,3,6
ASV0702,15,3,6
ASV0703,10,3,6
ASV0705,2,5,6
ASV0706,10,3,6
ASV0708,10,3,6
ASV0709,12,5,4
ASV0710,12,5,4
ASV0711,10,3,6
ASV0712,12,5,4
ASV0713,14,3,3
ASV0714,10,3,6
ASV0715,15,3,6
ASV0716,10,3,6
ASV0717,2,5,4
ASV0718,12,5,4
ASV0720,14,3,3
ASV0721,10,3,6
ASV0722,12,5,4
ASV0723,15,3,6
ASV0727,2,3,6
ASV0728,12,5,4
ASV0729,7,3,3
ASV0731,12,5,4
ASV0732,10,3,6
ASV0733,10,3,6
ASV0734,14,3,3
ASV0735,12,5,4
ASV0736,10,3,6
ASV0737,10,3,6
ASV0738,2,5,4
ASV0739,7,3,3
ASV0740,14,3,3
ASV0741,10,3,6
ASV0742,10,3,6
ASV0744,10,3,6
ASV0747,2,5,4
ASV0748,12,5,4
ASV0751,10,3,6
ASV0752,14,5,4
ASV0753,10,3,6
